iter	Passed	Remaining
0	3	3406
1	4	2475
2	7	2336
3	8	2147
4	10	2045
5	15	2588
6	17	2536
7	19	2435
8	21	2372
9	25	2483
10	31	2854
11	35	2914
12	37	2851
13	39	2797
14	43	2860
15	46	2873
16	49	2884
17	51	2819
18	53	2756
19	55	2702
20	60	2800
21	61	2752
22	63	2697
23	65	2657
24	66	2603
25	68	2557
26	69	2513
27	71	2474
28	72	2442
29	74	2418
30	76	2396
31	78	2359
32	79	2331
33	80	2300
34	82	2272
35	83	2241
36	85	2214
37	86	2189
38	88	2177
39	90	2163
40	91	2138
41	92	2117
42	94	2095
43	95	2073
44	96	2052
45	98	2036
46	99	2018
47	100	2001
48	102	1983
49	104	1984
50	106	1978
51	107	1966
52	109	1951
53	110	1934
54	111	1920
55	113	1905
56	114	1891
57	115	1876
58	116	1862
59	118	1850
60	120	1849
61	121	1836
62	122	1823
63	123	1812
64	125	1801
65	126	1789
66	128	1783
67	129	1776
68	130	1767
69	132	1761
70	133	1751
71	135	1742
72	136	1731
73	137	1722
74	138	1712
75	140	1703
76	141	1695
77	142	1687
78	143	1677
79	145	1669
80	147	1671
81	149	1669
82	150	1662
83	151	1653
84	152	1644
85	153	1636
86	155	1627
87	156	1620
88	157	1611
89	158	1604
90	159	1596
91	161	1597
92	163	1591
93	164	1584
94	165	1581
95	167	1581
96	169	1575
97	170	1568
98	171	1562
99	173	1557
100	174	1551
101	175	1544
102	177	1547
103	179	1544
104	180	1541
105	184	1554
106	186	1555
107	187	1552
108	189	1548
109	191	1549
110	193	1550
111	195	1551
112	199	1566
113	201	1563
114	202	1558
115	204	1557
116	205	1554
117	209	1565
118	218	1617
119	219	1613
120	228	1658
121	232	1672
122	234	1671
123	236	1673
124	238	1670
125	240	1670
126	242	1669
127	244	1664
128	245	1660
129	247	1657
130	249	1652
131	250	1647
132	251	1641
133	253	1641
134	255	1637
135	256	1632
136	258	1629
137	260	1626
138	261	1621
139	263	1616
140	264	1611
141	266	1608
142	267	1603
143	270	1606
144	272	1605
145	273	1602
146	275	1597
147	276	1593
148	278	1588
149	279	1583
150	280	1578
151	282	1574
152	283	1569
153	286	1571
154	288	1570
155	292	1584
156	294	1580
157	295	1576
158	297	1571
159	298	1567
160	300	1565
161	301	1561
162	303	1556
163	304	1552
164	305	1548
165	307	1544
166	308	1539
167	309	1535
168	311	1530
169	312	1526
170	314	1523
171	316	1524
172	317	1520
173	319	1515
174	320	1511
175	322	1507
176	323	1503
177	324	1499
178	325	1494
179	327	1491
180	328	1487
181	330	1487
182	332	1484
183	333	1479
184	334	1475
185	336	1470
186	337	1466
187	338	1462
188	339	1458
189	341	1454
190	342	1450
191	343	1446
192	345	1442
193	347	1444
194	349	1441
195	350	1437
196	352	1436
197	354	1435
198	355	1432
199	357	1428
200	358	1425
201	359	1421
202	361	1419
203	363	1417
204	365	1416
205	366	1414
206	369	1414
207	371	1413
208	373	1413
209	378	1422
210	380	1424
211	382	1422
212	384	1419
213	385	1416
214	387	1414
215	388	1411
216	390	1408
217	392	1406
218	394	1406
219	397	1410
220	399	1408
221	401	1405
222	402	1403
223	404	1400
224	405	1397
225	408	1400
226	410	1398
227	412	1395
228	413	1392
229	414	1389
230	416	1386
231	417	1383
232	419	1379
233	420	1376
234	421	1373
235	423	1372
236	425	1369
237	426	1366
238	428	1363
239	429	1360
240	431	1357
241	432	1354
242	434	1352
243	435	1349
244	437	1346
245	438	1344
246	440	1341
247	441	1338
248	442	1335
249	444	1332
250	445	1329
251	446	1326
252	448	1324
253	450	1322
254	451	1319
255	454	1320
256	456	1320
257	458	1318
258	459	1316
259	461	1313
260	462	1310
261	464	1307
262	465	1304
263	466	1301
264	468	1298
265	469	1296
266	471	1294
267	472	1291
268	474	1288
269	475	1286
270	477	1283
271	478	1279
272	479	1276
273	480	1273
274	481	1269
275	482	1266
276	484	1264
277	485	1261
278	487	1258
279	488	1255
280	489	1252
281	490	1249
282	491	1245
283	492	1242
284	494	1239
285	495	1236
286	496	1233
287	497	1229
288	499	1228
289	500	1226
290	501	1222
291	503	1219
292	504	1216
293	505	1213
294	506	1210
295	507	1207
296	508	1204
297	510	1201
298	511	1198
299	512	1195
300	514	1193
301	515	1192
302	516	1189
303	518	1186
304	519	1183
305	520	1180
306	521	1177
307	522	1174
308	523	1171
309	525	1168
310	526	1165
311	527	1164
312	530	1163
313	534	1168
314	537	1169
315	539	1167
316	542	1169
317	545	1169
318	547	1168
319	548	1165
320	550	1163
321	551	1162
322	553	1160
323	555	1158
324	557	1157
325	559	1156
326	561	1154
327	563	1153
328	565	1152
329	566	1150
330	568	1148
331	569	1146
332	571	1144
333	573	1144
334	575	1141
335	576	1139
336	577	1137
337	579	1134
338	580	1132
339	582	1129
340	583	1127
341	584	1125
342	586	1123
343	588	1122
344	589	1120
345	591	1117
346	592	1115
347	594	1113
348	595	1110
349	596	1108
350	598	1106
351	599	1103
352	600	1101
353	602	1099
354	604	1097
355	605	1095
356	606	1093
357	608	1090
358	609	1088
359	610	1085
360	611	1083
361	613	1080
362	614	1077
363	615	1075
364	616	1072
365	619	1072
366	620	1069
367	621	1067
368	622	1064
369	623	1062
370	624	1059
371	626	1057
372	627	1054
373	628	1052
374	629	1049
375	630	1046
376	631	1044
377	633	1042
378	635	1040
379	636	1039
380	638	1036
381	639	1034
382	640	1032
383	641	1029
384	643	1027
385	644	1025
386	645	1022
387	646	1020
388	648	1018
389	649	1016
390	651	1014
391	652	1011
392	653	1009
393	654	1006
394	655	1004
395	656	1002
396	658	999
397	659	997
398	660	994
399	661	992
400	663	990
401	664	989
402	666	986
403	667	984
404	668	982
405	669	979
406	670	977
407	671	975
408	673	972
409	674	970
410	675	967
411	676	965
412	677	963
413	680	962
414	681	960
415	682	958
416	683	955
417	684	953
418	685	951
419	687	948
420	688	946
421	689	944
422	690	941
423	691	939
424	692	937
425	694	935
426	696	934
427	697	932
428	698	929
429	699	927
430	701	925
431	702	923
432	703	921
433	704	918
434	705	916
435	706	914
436	707	912
437	709	910
438	711	908
439	712	906
440	713	904
441	714	902
442	717	902
443	719	900
444	720	898
445	721	896
446	722	894
447	724	892
448	726	891
449	727	889
450	730	889
451	731	887
452	733	886
453	735	884
454	736	882
455	738	880
456	739	878
457	741	877
458	743	876
459	744	874
460	746	872
461	747	870
462	748	868
463	750	866
464	751	864
465	753	863
466	754	861
467	756	860
468	758	858
469	759	856
470	760	854
471	762	852
472	763	850
473	764	848
474	766	846
475	767	844
476	768	842
477	770	840
478	771	839
479	773	837
480	774	835
481	776	834
482	777	832
483	778	830
484	780	828
485	781	826
486	782	824
487	783	822
488	784	820
489	787	819
490	788	817
491	793	818
492	795	818
493	797	816
494	798	814
495	799	812
496	802	812
497	804	811
498	807	810
499	809	809
500	812	808
501	813	806
502	814	805
503	817	804
504	820	804
505	823	803
506	824	802
507	826	800
508	828	798
509	829	796
510	831	795
511	837	798
512	841	798
513	842	796
514	844	795
515	845	793
516	848	792
517	853	794
518	856	793
519	857	791
520	858	789
521	860	787
522	862	786
523	869	790
524	874	791
525	877	790
526	881	791
527	884	790
528	886	788
529	887	787
530	889	785
531	890	783
532	891	781
533	893	780
534	896	779
535	899	779
536	901	777
537	904	777
538	906	775
539	908	773
540	911	773
541	914	773
542	917	772
543	919	770
544	920	768
545	922	766
546	923	765
547	927	765
548	930	764
549	931	762
550	933	760
551	935	758
552	936	757
553	940	757
554	942	756
555	945	754
556	947	753
557	948	751
558	950	749
559	954	749
560	959	751
561	961	749
562	962	747
563	964	745
564	966	744
565	970	743
566	972	742
567	974	741
568	976	739
569	978	738
570	980	736
571	982	735
572	985	734
573	987	732
574	989	731
575	990	729
576	992	727
577	993	725
578	995	723
579	996	721
580	998	720
581	1000	718
582	1002	717
583	1004	715
584	1005	713
585	1007	711
586	1008	709
587	1010	707
588	1014	707
589	1016	706
590	1018	705
591	1023	705
592	1025	703
593	1027	702
594	1030	701
595	1033	700
596	1036	699
597	1081	726
598	1084	725
599	1086	724
600	1088	722
601	1090	721
602	1092	719
603	1093	717
604	1096	715
605	1100	715
606	1103	714
607	1106	713
608	1108	711
609	1109	709
610	1111	707
611	1113	705
612	1115	704
613	1117	702
614	1120	701
615	1122	699
616	1124	697
617	1125	695
618	1128	694
619	1130	692
620	1132	691
621	1134	689
622	1135	687
623	1137	685
624	1138	683
625	1140	681
626	1141	679
627	1143	677
628	1145	675
629	1148	674
630	1150	672
631	1153	671
632	1155	670
633	1158	668
634	1167	670
635	1171	670
636	1174	669
637	1176	667
638	1190	672
639	1191	670
640	1193	668
641	1195	666
642	1197	664
643	1198	662
644	1200	660
645	1201	658
646	1202	656
647	1204	654
648	1206	652
649	1207	650
650	1208	648
651	1210	645
652	1211	643
653	1213	641
654	1214	639
655	1216	637
656	1217	635
657	1218	633
658	1220	631
659	1221	629
660	1223	627
661	1226	626
662	1228	624
663	1229	622
664	1231	620
665	1233	618
666	1234	616
667	1236	614
668	1238	612
669	1241	611
670	1243	609
671	1245	608
672	1248	606
673	1249	604
674	1251	602
675	1252	600
676	1255	598
677	1257	596
678	1258	595
679	1261	593
680	1263	591
681	1264	589
682	1266	587
683	1267	585
684	1270	584
685	1272	582
686	1274	580
687	1276	579
688	1278	577
689	1280	575
690	1281	573
691	1284	571
692	1286	570
693	1288	568
694	1290	566
695	1292	564
696	1293	562
697	1296	560
698	1298	559
699	1300	557
700	1302	555
701	1306	554
702	1307	552
703	1309	550
704	1311	548
705	1313	546
706	1315	545
707	1317	543
708	1319	541
709	1321	539
710	1323	537
711	1325	536
712	1327	534
713	1329	532
714	1330	530
715	1333	529
716	1335	527
717	1337	525
718	1338	523
719	1340	521
720	1342	519
721	1344	517
722	1346	515
723	1348	513
724	1349	511
725	1351	509
726	1352	507
727	1353	505
728	1355	503
729	1356	501
730	1358	499
731	1359	497
732	1361	495
733	1362	493
734	1363	491
735	1365	489
736	1367	487
737	1369	486
738	1372	484
739	1373	482
740	1378	481
741	1380	479
742	1382	478
743	1384	476
744	1386	474
745	1388	472
746	1389	470
747	1392	469
748	1396	467
749	1398	466
750	1401	464
751	1402	462
752	1403	460
753	1405	458
754	1407	456
755	1408	454
756	1410	452
757	1412	451
758	1414	449
759	1416	447
760	1418	445
761	1420	443
762	1424	442
763	1426	440
764	1430	439
765	1433	437
766	1435	436
767	1436	434
768	1438	432
769	1439	430
770	1441	428
771	1443	426
772	1445	424
773	1448	422
774	1450	421
775	1453	419
776	1457	418
777	1459	416
778	1461	414
779	1463	412
780	1464	410
781	1466	408
782	1467	406
783	1469	404
784	1472	403
785	1475	401
786	1478	400
787	1480	398
788	1481	396
789	1486	395
790	1488	393
791	1490	391
792	1493	389
793	1494	387
794	1496	385
795	1498	384
796	1501	382
797	1503	380
798	1505	378
799	1508	377
800	1510	375
801	1511	373
802	1515	371
803	1520	370
804	1522	368
805	1525	367
806	1526	365
807	1528	363
808	1529	361
809	1534	359
810	1536	357
811	1537	356
812	1540	354
813	1542	352
814	1543	350
815	1544	348
816	1547	346
817	1550	344
818	1552	343
819	1555	341
820	1556	339
821	1557	337
822	1559	335
823	1560	333
824	1564	331
825	1565	329
826	1567	327
827	1569	326
828	1571	324
829	1572	322
830	1574	320
831	1575	318
832	1579	316
833	1582	314
834	1584	313
835	1586	311
836	1587	309
837	1588	307
838	1590	305
839	1595	303
840	1597	301
841	1598	300
842	1600	298
843	1601	296
844	1604	294
845	1609	292
846	1610	290
847	1612	289
848	1614	287
849	1615	285
850	1617	283
851	1619	281
852	1622	279
853	1624	277
854	1626	275
855	1628	273
856	1629	271
857	1630	269
858	1632	268
859	1634	266
860	1638	264
861	1639	262
862	1642	260
863	1645	259
864	1647	257
865	1648	255
866	1650	253
867	1654	251
868	1657	249
869	1658	247
870	1661	246
871	1663	244
872	1664	242
873	1666	240
874	1668	238
875	1671	236
876	1673	234
877	1675	232
878	1676	230
879	1678	228
880	1679	226
881	1680	224
882	1683	223
883	1686	221
884	1688	219
885	1690	217
886	1691	215
887	1693	213
888	1694	211
889	1696	209
890	1697	207
891	1701	206
892	1704	204
893	1706	202
894	1708	200
895	1709	198
896	1710	196
897	1712	194
898	1715	192
899	1718	190
900	1720	189
901	1722	187
902	1723	185
903	1725	183
904	1726	181
905	1730	179
906	1733	177
907	1735	175
908	1737	173
909	1738	171
910	1740	169
911	1741	168
912	1742	166
913	1746	164
914	1748	162
915	1750	160
916	1752	158
917	1754	156
918	1755	154
919	1757	152
920	1760	150
921	1763	149
922	1765	147
923	1767	145
924	1769	143
925	1770	141
926	1771	139
927	1773	137
928	1777	135
929	1779	133
930	1781	132
931	1783	130
932	1784	128
933	1786	126
934	1787	124
935	1791	122
936	1794	120
937	1796	118
938	1798	116
939	1800	114
940	1801	112
941	1803	111
942	1805	109
943	1808	107
944	1810	105
945	1812	103
946	1814	101
947	1816	99
948	1817	97
949	1819	95
950	1824	93
951	1826	92
952	1828	90
953	1831	88
954	1832	86
955	1834	84
956	1836	82
957	1839	80
958	1841	78
959	1843	76
960	1845	74
961	1846	72
962	1847	70
963	1849	69
964	1851	67
965	1855	65
966	1856	63
967	1858	61
968	1859	59
969	1861	57
970	1862	55
971	1863	53
972	1865	51
973	1868	49
974	1871	47
975	1873	46
976	1874	44
977	1876	42
978	1877	40
979	1878	38
980	1880	36
981	1882	34
982	1885	32
983	1887	30
984	1889	28
985	1890	26
986	1892	24
987	1893	23
988	1895	21
989	1897	19
990	1900	17
991	1902	15
